"ARRİVALTİME","AİRLİNE","CONNECTİON","DEPARTURETİME","DURATİON","PRİCE"
"08:05","AJet","Direkt Uçuş","07:50","1sa 15dk","1344.0"
"15:40","AJet","Direkt Uçuş","15:25","1sa 15dk","1344.0"
"19:15","AJet","Direkt Uçuş","19:00","1sa 15dk","1344.0"
"14:55","Pegasus","Direkt Uçuş","14:45","1sa 10dk","1561.0"
"23:00","Pegasus","Direkt Uçuş","22:50","1sa 10dk","1561.0"
"08:10","Pegasus","Direkt Uçuş","08:00","1sa 10dk","1573.0"
"21:20","AJet","1 Aktarma","17:10","5sa 10dk","2279.0"
"10:30","AJet","1 Aktarma","04:30","7sa","2766.0"
"21:20","AJet","1 Aktarma","14:00","8sa 20dk","2766.0"
"06:10","AJet","1 Aktarma","23:20","7sa 50dk","2970.0"
"10:30","AJet","1 Aktarma","23:20","12sa 10dk","2970.0"
"06:10","AJet","1 Aktarma","17:10","14sa","2970.0"
"06:10","AJet","1 Aktarma","20:15","10sa 55dk","3251.0"
"10:30","AJet","1 Aktarma","20:15","15sa 15dk","3251.0"
"21:20","AJet","1 Aktarma","11:55","10sa 25dk","3601.0"
"13:30","AJet","1 Aktarma","04:30","10sa","3877.0"
"18:35","AJet","1 Aktarma","14:00","5sa 35dk","4472.0"
"13:30","AJet","1 Aktarma","09:55","4sa 35dk","4572.0"
"18:30","AJet","1 Aktarma","12:30","7sa","4622.0"
"11:30","AJet","1 Aktarma","20:05","16sa 25dk","4833.0"
"11:30","AJet","1 Aktarma","12:30","1g","4833.0"
"11:30","AJet","1 Aktarma","08:10","4sa 20dk","4933.0"
"18:30","AJet","1 Aktarma","08:10","11sa 20dk","4933.0"
"18:35","AJet","1 Aktarma","09:55","9sa 40dk","4994.0"
"02:20","Türk Hava Yolları","1 Aktarma","22:55","4sa 25dk","5021.0"
"02:20","Türk Hava Yolları","1 Aktarma","21:40","5sa 40dk","5021.0"
"08:20","Türk Hava Yolları","1 Aktarma","02:55","6sa 25dk","5021.0"
"10:30","Türk Hava Yolları","1 Aktarma","02:55","8sa 35dk","5021.0"
"08:20","Türk Hava Yolları","1 Aktarma","23:55","9sa 25dk","5021.0"
"12:10","Türk Hava Yolları","1 Aktarma","02:55","10sa 15dk","5021.0"
"18:35","AJet","1 Aktarma","11:55","7sa 40dk","5372.0"
"18:30","AJet","1 Aktarma","20:05","23sa 25dk","5372.0"
"19:10","AJet","1 Aktarma","15:00","5sa 10dk","5672.0"
"02:20","Türk Hava Yolları","1 Aktarma","19:55","7sa 25dk","5801.0"
"02:20","Türk Hava Yolları","1 Aktarma","18:00","9sa 20dk","5801.0"
"19:10","AJet","1 Aktarma","12:35","7sa 35dk","5972.0"
"19:10","AJet","1 Aktarma","07:55","12sa 15dk","5972.0"
"15:20","Türk Hava Yolları","1 Aktarma","10:40","5sa 40dk","6198.0"
"16:30","Türk Hava Yolları","1 Aktarma","10:40","6sa 50dk","6198.0"
"19:10","AJet","1 Aktarma","23:50","20sa 20dk","6410.0"
"19:10","AJet","1 Aktarma","19:25","1g 45dk","6410.0"
"20:30","Türk Hava Yolları","1 Aktarma","16:55","4sa 35dk","7051.0"
"15:20","Türk Hava Yolları","1 Aktarma","10:55","5sa 25dk","7195.0"
"16:30","Türk Hava Yolları","1 Aktarma","10:55","6sa 35dk","7195.0"
"20:30","Türk Hava Yolları","1 Aktarma","15:55","5sa 35dk","7518.0"
"20:05","Türk Hava Yolları","2 Aktarma","10:40","10sa 25dk","7942.0"
"10:30","Türk Hava Yolları","1 Aktarma","07:00","4sa 30dk","8518.0"
"08:20","Türk Hava Yolları","1 Aktarma","04:30","4sa 50dk","8518.0"
"12:10","Türk Hava Yolları","1 Aktarma","07:00","6sa 10dk","8518.0"
"10:30","Türk Hava Yolları","1 Aktarma","04:30","7sa","8518.0"
"12:10","Türk Hava Yolları","1 Aktarma","04:30","8sa 40dk","8518.0"
"12:10","Türk Hava Yolları","1 Aktarma","08:55","4sa 15dk","9068.0"
"15:20","Türk Hava Yolları","1 Aktarma","11:55","4sa 25dk","9068.0"
"16:30","Türk Hava Yolları","1 Aktarma","11:55","5sa 35dk","9068.0"
"15:20","Türk Hava Yolları","1 Aktarma","08:55","7sa 25dk","9068.0"
"16:30","Türk Hava Yolları","1 Aktarma","08:55","8sa 35dk","9068.0"
"20:30","Türk Hava Yolları","1 Aktarma","13:55","7sa 35dk","9107.0"
"20:05","Türk Hava Yolları","2 Aktarma","10:55","10sa 10dk","9443.0"
"13:30","AJet","1 Aktarma","07:50","6sa 40dk","9444.0"
"18:35","AJet","1 Aktarma","07:50","11sa 45dk","9887.0"
"20:30","Türk Hava Yolları","1 Aktarma","11:55","9sa 35dk","10343.0"
"20:05","Türk Hava Yolları","2 Aktarma","11:55","9sa 10dk","12370.0"
"20:05","Türk Hava Yolları","2 Aktarma","10:55","10sa 10dk","12370.0"
